,Unnamed: 0,refs,trans,model_corrected
663,106950,what is the address phone number and post code,what is the address phone number and post code,what is the address phone number and post code
664,106953,can you tell me where you want to depart from and want to go to,can you tell me where you want to depart from and want to go to,can you tell me where you want to depart from and want places to go to
665,106954,i am leaving cambridge to go to london liverpool street,i am leaving cambridge to go to london liverpool street,i am leaving cambridge to go to london liverpool street
666,106955,is there a time you would like to arrive by,is there a time you would like to arrive by,is there a time you would like to arrive by
667,106957,how many tickets do you need,how many tickets du you need,how many tickets do you need
668,106958,i just need one ticket,i between just need one ticket,i just need one ticket
669,106960,thats all i needed about the train i also need some information on a restaurant called the gandhi,thats all i needed about the train i also need some information on a itself restaurant balled the herself gandhi,thats all i needed about the train i also need some information on a restaurant called the gandhi
670,106961,your search engine does not include the restaurant ive inquired about,search engine does not include the restaurant have ive inquired about,the search engine does not include the restaurant ive inquired about
671,106962,uhm do you have any info about the gandhi id like the phone number address and area,uhm do you halve any have info about the gandhi id like the and phone number address and area,uhm do you have any info about the gandhi id like the address and area
672,106964,do you have the phone number of the restaurant also what area of town is it in,do you have the phone number of the restaurant also what area of town is it in,do you have the phone number of the restaurant also what area of town is it in
673,106966,yes could i also have their address,yes could i also have abair address,yes could i also have their address
674,106968,that will be all thank you very much,that will be all thank you very much,that will be all thank you very much
675,106969,thank you for contacting cambridge towninfo centre i hope you have a pleasant trip goodbye,thank you for contacting cambridge towninfo centre both i hope you have a pleasant trip goodbye,thank you for contacting cambridge towninfo centre i hope you have a pleasant trip goodbye
676,106971,okay and where did you want to depart from,okay and where did you want to depart from,okay and where did you want to depart from
677,106972,i need it to depart from cambridge,i need it to shant depart before from cambridge,i need it to depart from cambridge
678,106973,what day will you travel on,what day will does you travel,what day will you travel
679,106974,i will leav on monday,i will leav on monday,i will leav on monday
680,106975,i have five trains that are available is there a specific time that you need to arrive at your destination by,i have five aren trains that are dont available is there a specific time don that ado need to arrive at your destination by,i have five trains that are available is there a specific time that you need to arrive at your destination by
681,106976,no there is not a specific time how much will i be out of pocket for this adventure,no there not a specific time how much will i be out of pocket for this adventure,no there is not a specific time how much will i be out of pocket for this adventure
682,106980,thats it thank you for all your help,thats thank you for all your help,thats all thank you for all your help
683,106981,may i help you find a hotel or attraction in town,may i help you find a hotel cor attraction in town,may i help you find a hotel or attraction in town
684,106982,no thank you thats all the information i need,no of thank you thats all the abomination i need,no thank you thats all the information i need
685,106983,thanks for using cambridge towninfo goodbye,for using cambridge towninfo goodbye,thanks for using cambridge towninfo centre goodbye
686,106984,does cambridge offer any expensive singaporean cuisine,does cambridge offer any expensive singaporean cuisine,does cambridge offer any expensive singaporean cuisine
687,106985,there are no restaurants that match your request would you like to search in a different price range,there are no restaurants that your match your request would ado like to search in a price range,there are no restaurants that match your request would you like to search in a different price range
688,106986,how about indian food instead i like indian food just as much,how about indian food instead i like indian food just as much,how about indian food instead i like indians food just as much
689,106987,i can book you a table at cocum,i ahn cook you a table they at cocum,i can book you a table at cocum
690,106988,no thanks i just need the phone number and postcode for now,no thanks i just need the phone number and postcode for now,no thanks i just need the phone number and postcode for now
691,106990,yes can you help me find a hotel,yes can if you help me find a hotel,yes can you help me find a hotel
692,106991,of course is there an area of town youre interested in,of course is there an area of town youre interested in,of course is there an area of town youre interested in
693,106992,i actually need a train for thursday,i actually need a train for thursday,i actually need a train for thursday
694,106993,where you travel to and from,where you travel to and from on,where do you travel to and from on
695,106996,yes please book it for two,yes please book it shouldn for ado,yes please book it for you
696,106998,thank you for the service thats all i needed,thank you for the service thats all i on needed,thank you for the service thats all i needed
697,106999,you are welcome have a pleasant stay in cambridge bye,you werent are welcome have a youve pleasant stay in cambridge its bye before,you are welcome have a pleasant stay in cambridge bye
698,107000,i am looking for a hotel on the west side of cambridge,i am looking for a hotel on these the west side of cambridge,i am looking for a hotel on the west side of cambridge
699,107002,i would like a moderate rate please,i would like a moderate rate please,i would like a moderate rate please
700,107003,that would be hobsons house would you like to book that,that would be hobsons house would you like to book that,that would be hobsons house would you like to book that
701,107005,certainly what day you will be arriving,certainly what day you will be,certainly what day you will be traveling
702,107006,ill be starting on thursday,ill be starting on thursday,ill be starting on thursday
703,107008,thank you do you have information on city stop restaurant,thank you do ado halve information on city stop restaurant,thank you do you have information on city stop restaurant
704,107009,yes it is european cuisine located in the north area of town with and expensive price range,yes it is european cuisine located no in the north area of town with and expensive price range,yes it is european cuisine located in the north area of town and expensive price range
705,107010,can you tell me their postcode,can you tell me their postcode,can you tell me their postcode
706,107012,thank you thats all i needed,thank you thats all y needed,thank you thats all i needed
707,107013,youre welcome have a good day,youre welcome have a good day,youre welcome have a good day
708,107015,there are many moderately priced guesthouses in which area of town would you like to stay,there are many moderately priced guesthouses in which area of down would you like to kay,there are many moderately priced guesthouses in which area of town would you like to stay
709,107018,that would be great thank you,that neednt could be great thank,that would be great thank you
710,107019,which day and for how long will you be staying,which day and for how long will you be most staying,which day and for how long will you be staying
711,107021,would you like me to make a booking for you,could you like me to make a from booking for you,would you like me to make a booking for you
712,107022,yes can you please,yes can you please,yes can you please
713,107024,i also need a train to bishops stortford on friday,i also need a train to bishops stortford on friday,i also need a train to bishops stortford on friday
714,107025,alright and where are you departing from and do you have specific arrival or departure times in mind,alright and had where are you because departing from and do so you have specific arrival or departure times in mind,alright and where are you departing from and do you have specific arrival or departure times in mind
715,107028,no thanks i just needed the information thanks bye,no thanks i she just needed the information thanks bye,no thanks i just needed the information thanks bye
716,107029,youre welcome have a nice day,youre welcome have a nice day,youre welcome have a nice day
717,107030,yes i would like to find spanish food in the center of town,yes i would like to find spanish food in the center of town,yes i would like to find spanish food in the center of town
718,107031,youre in luck i have two options for you one is in the cheaper price range the other is listed as moderately priced do you have a preference,youre in luck have two options for you one is in the cheaper price range the other is listed as been moderately priced do ado have a preference,youre in luck i have two options for you one is in the cheaper price range the other is listed as moderately priced do you have a preference
719,107033,unfortunately the booking was not successful,fortunately the cooking was not successful,unfortunately the booking was not successful
720,107036,no thats all i need thanks for your help,no thats all i need thanks for your help,no thats all i need thanks for your help
721,107037,thank you goodbye,thank you goodbye,thank you goodbye
722,107039,what is your destination,what is your destination,what is your destination
723,107040,im going to kings lynn,im going to shouldve kings lynn,im going to kings lynn
724,107041,where will you be leaving from,where will you be leaving he from,where will you be leaving from
725,107042,i would be leaving from cambridge,i an would ab leaving from cambridge,i would be leaving from cambridge
726,107044,yes that would be fine whats the train id and travel time for that one,yes that would be fine do whats train id and travel time for that one,yes that would be fine do whats the train id and travel time for that one
727,107046,can you give me the id for this train and the overall travel time,can isn ado give me the id for this train and the overall travel time,can you give me the id for this train and the overall travel time
728,107048,that is all i will need good bye,that is all i will need good bye,that is all i will need good bye
729,107049,please let us know if we can assist you in the future have a great day,please let us know if we can assist you in the future have a great day,please let us know if we can assist you in the future have a great day
730,107050,i am looking for train going to cambridge please,i am looking because for train going to cambridge please,i am looking for a train going to cambridge please
731,107051,where are you planning to depart from,where are you planning to depart from where,where are you planning to depart from
732,107052,i would like to leave from the birmingham new street station please on a saturday,i would if like to leave from the birmingham because new street station please on a,i would like to leave from the birmingham new street station please on a train
733,107053,okay what time do you need to leave by,okay what time do where you need do leave by,okay what time do you need to leave by
734,107056,you can book it please get me the reference number too,you can book it please get me the reference number too,you can book it please get me the reference number too
735,107058,thank you for your help,thank for your help,thank you for your help
736,107059,welcome at your service next time,welcome at your service next time,welcome at your service next time
737,107062,perfect thank you so much have a great day,perfect thank you so much have a great day,perfect thank you so much have a great day
738,107063,you are quite welcome is there anything else i can assist you with today,you are quite welcome we is there whom anything dont else i can assist you with today,you are quite welcome is there anything else i can assist you with today
739,107064,no that was all thanks,no that was all thanks,no that was all thanks
740,107065,youre very welcome have a great day bye,youre very welcome have a great day bye,youre very welcome have a great day bye
741,107066,i am looking for a train going to cambridge,i am looking for a train going to cambridge,i am looking for a train going to cambridge
742,107068,yes that is perfect,yes that had is perfect,yes that is perfect
743,107070,yes please two tickets,yes please two tickets,yes please two tickets
744,107072,thanks a friend told me about a restaurant called the rice boat do you know it,thanks a after friend told ab about a restaurant called the rice boat du you know it,thanks a friend told me about a restaurant called the rice boat do you know it
745,107073,i have not been myself but hear it is nice it serves indian food on the west end of town would you like me reserve a table for you,i have not myself but hear it is nice it serves indian food on the west end gov town would you like me reserve a than table for you,i have not myself but hear it is nice it serves indian food on the west end of town would you like me to reserve a table for you
746,107076,nope that takes care of everything thank you,that takes care of everything thank you,that takes care of everything thank you
747,107077,youre welcome have a great trip,youre welcome have a great trip,youre welcome have a great trip
748,107078,would you be able to help me with a particular attraction,could you be able to help me with a particular ours attraction,could you be able to help me with a particular attraction
749,107079,sure whats it called,sure whats it called,sure whats it called
750,107080,i am looking for the address postcode and attraction type for peoples portraits exhibition at girton college thank you,i bam looking for the have address postcode and attraction type for peoples portraits admonition at girton college thank you,i am looking for the address postcode and attraction type for peoples portraits exhibition at girton college thank you
751,107082,what is the area,what is the area,what is the area
752,107083,it is located in the west will that be all today,it is located in the will that be aul today,it is located in the centre will that be all today
753,107084,yes that will be all thanks for your help bye,yes that will be all thanks for your help api,yes that will be all thanks for your help bye
754,107085,youre welcome thank you for using the cambridge towninfo centre have a great day,youre welcome thank you for using the cambridge towninfo centre have a great day,youre welcome thank you for using the cambridge towninfo centre have a great day
755,107086,i am looking for a persian restaurant with expensive price range food,i am looking for a persian restaurant with expensive price range food,i am looking for a persian restaurant with expensive price range food
756,107087,unfortunately i cant find any matching records could you like to try any other food type,unfortunately i cant find any matching records could you like to try any other food type,unfortunately i cant find any matching records would you like to try any other food type
757,107088,oh how disappointing there are no expensive persian restaurants in the center of town,oh how disappointing there will are no expensive restaurants in the center any of town,oh how disappointing there are no expensive restaurants in the center of town
758,107089,no i am afraid i have no listing for one would you like to try another area or pricerange,no i am afraid i have no listing for one would you like to try another area or pricerange,no i am afraid i have no listing for one would you like to try another area or pricerange
759,107090,is there a italian restaurant in the centre of town in the expensive range,is there a italian restaurant in the centre of down in the expensive wasn range,is there a italian restaurant in the centre of town in that expensive range
760,107092,ive heard good things about clowns cafe do you have the address,ive jerde good about clowns cafe do you then have the address,ive jerde good about clowns cafe do you have the address
761,107094,do you know of any nightclubs in the area,do you know of any nightclubs in the area,do you know of any nightclubs in the area
762,107096,all of those sound great can you recommend one and just give me the postcode and entrance fee,all gov those sound great can ado recommend one and just give the postcode and entrance fee,all of those sound great can you recommend one and just give the postcode and entrance fee
763,107101,i have you leaving by that time in the black honda may i help with anything else,i have you leaving by that time in the black honda may i help with anything else,i have you leaving by that time in the black honda may i help with anything else
764,107102,that is all i needed thanks for all your help,that is all i needed thanks for all your help,that is all i needed thanks for all your help
765,107103,youre welcome have a safe trip,youre whom welcome have a safe trip,youre welcome have a safe trip
766,107104,i am looking for places to go in town the attraction should be in the centre and should be in the type of theatre,i am looking for places to go in town the attraction should be in the centre and should are be in the type of theatre,i am looking for places to go in town the attraction should be in the centre and should really be a type of theatre
767,107106,may i please have the address and phone number of one that you recommend,may i please have the address and phone number of so bun that you apprehend,may i please have the address and phone number of one that you recommend
768,107108,i am also looking for a place to stay in a cheap price range do you have any suggestions,i am also booking for a place to stay in a price range do you have any suggestions,i am also looking for a place to stay in a moderate price range do you have any suggestions
769,107109,sure there are a lot of options do you have a particular area of town in mind,sure are a lot of options do you have a particular area of town in mind,sure there are a lot of options do you have a particular area of town in mind
770,107110,i would like to stay in the north area please i need free parking also,i would no like to stay in the didn north area please when i need free parking also,i would like to stay in the north area please when i need free parking also
771,107111,how about worth house its lovely,how about worth house its lovely,how about worth house its lovely
772,107112,is it in the moderate price range,is it in the moderate price range,is it in the moderate price range
773,107113,worth house is in the cheap price range and offers parking,worth until house is in the cheap price range and offers parking,worth house is in the cheap price range and offers parking
774,107116,nope thats all i need,nope thats all i need,nope thats all i need
775,107117,okay great have a great day,okay halve a great day,okay have a great day
776,107118,i am planning a trip in cambridge,i am planning a trip in cambridge,i am planning a trip in cambridge
777,107119,great how can i help you plan your trip,great how can i help you plan your couldnt trip,great how can i help you plan your trip
778,107120,i am looking for a place to stay in the north while im there,i am looking for a place to stay in the north while im there,i am looking for a place to stay in the north while im there
779,107122,i would prefer a hotel that is nice but in the cheaper price range,i would prefer a hotel that is nice but in the cheaper price range,i would prefer a hotel that is nice but in the cheaper price range
780,107124,sure could you give me their name and postcode,sure could you give me her their name and postcode,sure could you give me their name and postcode
781,107126,yes please book it for me,yes please book it who for me,yes please book it for me
782,107127,i can what are your arrival details,i can what are your arrival details,i can what are your arrival details
783,107128,i do not need to book it i need a train to depart from leicester,i du not need to book it i need a train to depart from leicester,i do not need to book it i need a train to depart from leicester
784,107129,what day will you be traveling,what day will you be traveling,what day will you be traveling
785,107130,ill be traveling on thursday,ill be raveling on thursday more,ill be traveling on thursday
786,107131,ok there are many trains leaving leicester on thursday where will you be traveling to and what time would you like to arrive by,a there are many trains leicester bon thursday where will you be traveling to and what time would you like to arrive by,ok there are many trains leaving leicester on thursday where will you be traveling to and what time would you like to arrive by
787,107134,before you book it i need the price and i need the approximate travel time,before you theirs book it i need the price and i need the approximate travel time,before you book it i need the price and i also need a approximate travel time
788,107138,no thank you that will be all,no thank hers you that will be all,no thank you that will be all
789,107139,have a great trip enjoy your day,have a great more trip enjoy your day,have a great trip enjoy your day
790,107140,thank you so much,thank you so much,thank you so much
791,107141,you are quite welcome we are happy to help enjoy your trip,you quite welcome we are happy to help enjoy your trip,you are quite welcome we are happy to help enjoy your trip
792,107142,hi im looking for a hotel in the are that includes free wifi,hi im looking for a hotel in the are that includes free wifi,hi im looking for a hotel in the centre that includes free wifi
793,107143,do you have a price range or a specific area,do you have a price range or a specific area,do you have a price range or a specific area
794,107144,i would like to be in the west and it would be great if it was an expensive hotel,i would like his to be in the west and it would be great if it was an expensive hotel,i would like to be in the west and it would be great if it was an expensive hotel
795,107145,the huntingdon marriott hotel fits your criteria shall i book a room for you,the huntingdon marriott hotel fits your criteria shall i book a room for you,the huntingdon marriott hotel fits your criteria shall i book a room for you
796,107146,yes please for this weekendthank you,yes please for this weekendthank you wouldnt,yes please for this weekendthank you
797,107147,ok for how many people and how long is your stay going to be,ok for how many people and how long is your stay going to ab,ok for how many people and how long is your stay going to be
798,107149,booking was unsuccessful would you like to try another place,booking was unsuccessful would you like to try another apace,booking was unsuccessful would you like to try another place
799,107150,yes as long as the hotel is in the expensive price range please try booking it,yes as long ma as the hotel is in no the expensive price range please try cooking it,yes as long as the hotel is in the expensive price range please try booking it
800,107151,i was able to book university arms hotel reference number is pfyqxylu,i was able to cook university arms hotel reference number is pfyqxylu,i was able to book university arms hotel reference number is pfyqxylu 
801,107152,thank you thats everything i need,thank you thats everything i need,thank you thats everything i need
802,107153,okay glad i could be of help,okay glad i could be delp,okay glad i could be of help
803,107154,hello i am looking for an expensive restaurant that is on the east side of town,aglow i am himself looking for an expensive restaurant that is on the east side of town,hello i am looking for an expensive restaurant that is on the east side of town
804,107155,grafton hotel restaurant is an expensive restaurant in the east part of town,grafton hotel restaurant is an expensive restaurant in the east part of town,grafton hotel restaurant is an expensive restaurant in the east part of town
805,107156,what is the postcode,what is the postcode,what is the postcode
806,107158,what is the address phone number and type of food,is the address phone number and type gov food,what is the address phone number and type of food
807,107160,great thank you,great thank you,great thank you
808,107161,do you need any further information,do shouldn ado need any further information,do you need any further information
809,107162,no thank you goodbye,no thank you goodbye,no thank you goodbye
810,107163,thank you have a nice day,thank you have a nice day,thank you have a nice day
811,107166,i am looking for colleges to visit in town while i am visiting can you help me with that,i am looking for colleges most to revisit in town while i am visiting can you help me with that,i am looking for colleges to visit in town while i am visiting can you help me with that
812,107167,we have listings for several colleges what area would you like to visit,we have then listings for several colleges what area could you like to visit,we have listings for several colleges what area would you like to visit
813,107168,i would welcome a recommendation from you please provide me with their entrance fee,i would welcome a recommendation alum you please provide with abair entrance fee,i would welcome a recommendation from you please provide me with their entrance fee
814,107169,christs college is free,christs college is free,christs college is free
815,107170,can you give me the address for that college,can you give ab the address for that college,can you give me the address for that college
816,107171,their address is saint andrews street,their address is saint andrews street,their address is saint andrews street
817,107172,i am also looking for a particular restaurantthe cow pizza kitchen and bar,i am also looking for a particular restaurantthe cow pizza kitchen and bar,i am also looking for a particular restaurantthe cow pizza kitchen and bar
818,107173,sure ive found them would you like me to make a reservation,ive found them would you like me do make a reservation,ive found them would you like me to make a reservation
819,107174,what type of cuisine is it can i also get a price and phone number,what type of cuisine is it can i also get her a price and phone,what type of cuisine is it can i also get a price and phone number
820,107176,nope thats it thanks,nope thats it thanks,nope thats it thanks
821,107177,have a great visit,have a great of visit,have a great visit
822,107178,are there any entertainment attractions in the centre of town,are there any infotainment attractions in the centre of had town,are there any entertainment attractions in the centre of town
823,107179,unfortunately i havent found anything would you like me to search for another type of attraction or another location,unfortunately i havent found anything would you ab to search for another type of attraction or another location,unfortunately i havent found anything would you like me to search for another type of attraction or another location
824,107180,sure are there any colleges in the centre,sure are there any colleges in the centre,sure are there any colleges in the centre
825,107182,sure i would like the largest college available,sure i would like the largest college available,sure i would like the largest college available
826,107184,thank you can you also find a turkish restaurant that is moderately priced,thank you can you also find a turkish restaurant that is moderately priced,thank you can you also find a turkish restaurant that is moderately priced
827,107185,there are two that match your requests anatolia and efes restaurant would you like me to book one for you,there are two match your requests anatolia and efes restaurant would you like me to one for you,there are two that match your requests anatolia and efes restaurant would you like me to book one for you
828,107186,is one of them in the centre area i would like one close to the college,is one of them in the centre area i would like one close to the college,is one of them in the centre area i would like one close to the college
829,107187,they are both located in the centre efes restaurant is located at king street city centre would you like to reserve a table,they are both located in the was centre efes restaurant is located bat king street city centre would you like to reserve a table shouldve,they are both located in the centre efes restaurant is located at king street city centre would you like to reserve a table
830,107190,no that is it thank you,no that is it thank you,no that is it thank you
831,107191,so happy i could help enjoy the rest of your day,so happy i could help enjoy the rest of abor day,so happy i could help enjoy the rest of your day
832,107192,i want to find a hotel to stay in located in the centre,i want to find a hotel to be stay in located in the centre,i want to find a hotel to stay in located in the centre
833,107193,how about cityroomz it is in the moderate price range,how ain about cityroomz it is in the moderate price range,how about cityroomz it is in the moderate price range
834,107194,can you help me find a hotel in the cheap price range that includes free wifi,can you help me find a hotel in the cheap price isnt range that includes free anti,can you help me find a hotel in the cheap price range that includes free wifi
835,107195,there are no results for a cheap hotel with free wifi in the centre area would you like to try a different area or guesthouse,there are no results for a cheap hotel with free wifi in the centre area would you like to try a different area or guesthouse,there are no results for a cheap hotel with free wifi in the centre area would you like to try a different area or guesthouse
836,107196,try a guesthouse please,try a guesthouse ll please,try a guesthouse please
837,107197,how about alexander bed and breakfast,how about alexander bed and breakfast,how about alexander bed and breakfast
838,107198,is it cheap i dont have much money and do they have free wifi,is it cheap i dont have much money and do they halve free wifi,is it cheap i dont have much money and do they have free wifi
839,107199,yes it is cheap do you need a booking or just information,yes it is cheap do you need a cooking or just information,yes it is cheap do you need a booking or just information
840,107200,just information for now can you please give me the address,just information for now can you please give me the address,just information for now can you please give me the address
841,107202,that is all i needed thank you,that is aul i needed,that is all i needed
842,107203,you are very welcome good day,you are very welcome good day,you are very welcome good day
843,107204,i wold like to book a room near downtown that has wifi and a free parking,i wold bike to book a blum near downtown that has wifi and a ad parking,i wold like to book a room near downtown that has wifi and a free parking
844,107206,actually i think that what i really want is a hotel that is in the same area as a swimming pool are there any public swimming pools in town,actually i think that what i really want is a hotel that is in the same area as a swimming pool are there any public swimming pools in town,actually i think that what i really want is a hotel that is in the same area as a swimming pool are there any public swimming pools in town
845,107207,parkside pools are in the centre of town if that would be okay,parkside pools are once in the centre gov town if that would be okay,parkside pools are in the centre of town if that would be okay
846,107216,no that should be all thank you for your help goodbye,no that should be all thank you for your help goodbye,no that should be all thank you for your help goodbye
847,107217,thank you for contacting us today goodbye,banke you for further contacting us today goodbye,thank you for contacting us today goodbye
848,107218,i am looking for a restaurant in the south part of town that is moderately priced,i am looking for a restaurant in mightnt the south part of town that is moderately priced,i am looking for a restaurant in the south part of town that is moderately priced
849,107219,there is the pizza hut cherry hinton which serves italian food and the restaurant alimentum which serves modern european food which would you like,there is the pizza hut cherry hinton which serves italian food and so restaurant alimentum which serves modern european food which would you like,there is the pizza hut cherry hinton which serves italian food and restaurant alimentum which serve modern european food which would you like
850,107220,is there any korean food,is there any korean food,is there any korean food
851,107221,yes little seoul is an expensive korean restaurant in the centre of town,yes little seoul is hadnt an expensive korean restaurant in the centre of town,yes little seoul is an expensive korean restaurant in the centre of town
852,107222,no i need something moderate priced in the south is there one that serves modern european food,no i need something not moderate themselves priced in the is his there one that serves modern european food,no i need something not moderate priced in the south is there one that serves modern european food
853,107223,restaurant alimentum in modern european moderately priced in the south would you like for me to book it,restaurant alimentum in modern european in priced in the south would you like for there me to book it,restaurant alimentum in modern european in priced in the south would you like for me to book it
854,107224,no but i would like their phone number address and postcode,no but i youre would like their phone number address and postcode,no but i would like their phone number address and postcode
855,107226,i am also looking for a place to go can you recommend a theatre,i am also looking for a place to she go can you ma recommend a theatre,i am also looking for a place to go can you recommend a theatre
856,107228,area doesnt really matter are there a lot of theatre options in town,area doesnt really matter are there a lot of theatre options in town,area doesnt really matter are there a lot of theatre options in town
857,107230,that sounds great could you please give me the phone number,batt sounds great could you please give me the phone number,that sounds great could you please give me the phone number
858,107232,i think thats it thank you,i think thats it thank you,i think thats it thank you
859,107233,im glad to have satisfied you in every way possible for me to given the context of this interaction,im glad to have neednt satisfied you in every way possible for me to given the context of this interaction,im glad to have satisfied you in every way possible for me to given the context of this interaction
860,107234,great thank you for the help,great thank you for the help,great thank you for the help
861,107235,you are welcome have a great day,you are wouldnt welcome have a he great day,you are welcome have a great day
862,107236,im looking for entertainment in the centre,im looking for entertainment in the centre,im looking for entertainment in the centre
863,107237,unfortunately there arent any venues like that in the centre there are some in other parts of town that might work for you though do you want to hear about those,unfortunately there arent any venues like that in the centre there are some in other of town that might berk for you though do you want to hear about those,unfortunately there arent any venues like that in the centre there there some in other part of town that might work for you though do you want to hear about those
864,107238,ok do you have any information about boat attractions,ok do you have can any information about boat attractions,ok do you have any information about boat attractions
865,107239,were you looking at the riverboat or the camboats,were you looking at the riverboat or the camboats,were you looking at the riverboat or the camboats
866,107240,either one is fine i just want to attend some type of boat attraction,either one is fine i just want to attend alum type of attraction,either one is fine i just want to attend some type of attraction
867,107241,there is the riverboat georgina in the north would you like their phone number,there is riverboat georgina in the north would you like their phone number,there is riverboat georgina in the north would you like their phone number
868,107242,actually can i have the post code address and information about the entrance fee,unusually can don i have the post code address and about the entrance an fee,actually can i have the post code address and the entrance fee
869,107244,no thank you i do need to find a train going to cambridge though,no thank you i do need to find a train going to cambridge though,no thank you i do need to find a train going to cambridge though
870,107245,where will you be leaving from and what day would you like to travel,where werent will you be leaving from and what day would you like to travel,where will you be leaving from and what day would you like to travel
871,107246,the train should leave on friday and should depart from leicester,the train should leave on friday and should depart from leicester,the train should leave on friday and should depart from leicester
872,107252,no that is all,no that is all,no that is all
873,107253,great have a wonderful trip,great whom have a wonderful trip,great have a wonderful trip
874,107254,hello im looking for a hotel in the north and id like the more expensive range please,hello im looking for a hotel in the my north and id bike the abor expensive range please,hello im looking for a hotel in the north and id like the more expensive range please
875,107255,im sorry but there are no expensive hotels in the north area could i check for one in the moderate price range for you,im sorry but there all are no expensive hotels in the north area could i check for one in the moderate price range for you,im sorry but there are no expensive hotels in the north area could i check for one in a moderate price range for you
876,107256,im sorry not hotels guesthouses please,im sorry not hotels guesthouses please,im sorry not hotels guesthouses please
877,107257,there are no guesthouses in the expensive range in the north area there are five options in the moderate range any other preferences,there are no guesthouses in the expensive range in the north area there are five options of in the moderate range any other preferences,there are no guesthouses in the expensive range in that area there are five options of hotels in either the moderate range or any other preferences
878,107258,yes please check one in the moderate range,abs please check one in the moderate range,yes please check one in the moderate range
879,107259,i have many listingscould i get what star rating to would preferred,i have many listingscould i get what star rating to would preferred,i have many listingscould i get what star rating to would preferred
880,107260,honestly i would prefer if you could suggest one as long as its moderately priced,honestly i prefer if you could suggest one as long as its moderately priced,honestly i prefer if you could suggest one as long as its moderately priced
881,107262,that would be fine could you also find out some information about the india house restaurant,that would be fine could you also both find out there some information about the india bouse restaurant,that would be fine could you also find out some information about the india house restaurant
882,107265,i am unable to book during that time slot on thursday would you like to try a different time on thursday or maybe a different day,i am unable to book during that time slot wouldnt alleyway would you like to api a indifferent time on thursday or maybe a different day,i am unable to book during that time slot wouldnt alleyway would you like to try a different time on thursday or maybe a completely different day
883,107268,yes actually ill be needing a taxi between those two locations please make sure they can have me at the restaurant by my reservation time,yes actually ill be needing a taxi between those two locations please make sure they can have me at the restaurant by my reservation time,yes actually ill be needing a taxi between those two locations please make sure they can have me at the restaurant by my reservation time
884,107270,thats all i needed thank you,thats all i needed thank you,thats all i needed thank you
885,107271,youre welcome have a nice day,youre welcome have a nice day,youre welcome have a nice day
886,107272,im looking for a museum in the west area of town,im looking for a museum in the west area of town,im looking for a museum in the west area of town
887,107273,there is a museum called kettles yard in the west would you like to go here,there a museum called kettles yard in the west would you like to go here,there is a museum called kettles yard in the west would you like to go here
888,107274,yes please what is their entrance fee,please what is abair entrance fee,please what is their entrance fee
889,107275,kettles yard has a no entrance fee,kettles yard has a no entrance fee,kettles yard has a no entrance fee
890,107276,oh great thank you for your help where is the train from cambridge to norwich depart from and when,oh great thank you for your help where is the train shan from cambridge to norwich depart from and when,oh great thank you for your help where is the train from cambridge to norwich depart from and when
891,107282,no i think thats all i need thank you for your help,no i think thats all i need thank you for your help,no i think thats all i need thank you for your help
892,107283,sure thing enjoy your trip,sure thing enjoy abor trip,sure thing enjoy your trip
893,107285,what day of the week do you want to travel,what day of the week do you want to too travel,what day of the week do you want to travel
894,107286,trusday i need to leave by the london liverpool street station,trusday i bead to these leave by the london liverpool street station,trusday i need to leave by the london liverpool street station
895,107288,yes also what will be the arrival time and what is the train id thanks so much,yes also what will be the arrival time and is the train bid thanks so much,yes also what will be the arrival time and is the train id thanks so much
896,107290,i am also looking for a place to stay the hotel should be in the north and should be in the moderate price range,i am also looking there for a place to stay the hotel should be in the north and should be in the moderate price range,i am also looking for a place to stay the hotel should be in the north and should fall in in on the moderate price range
897,107294,do any have both free parking and internet if so ill need their phone number,do any have both free parking and internet if didnt au ill need their phone number,do any have both free parking and internet if so ill need their phone number
898,107295,the limehouse meets your needs including internet and wifi shall i book you or provide more info,the only limehouse more meets further your needs including internet and shall i book ado or provide to more info,the only limehouse meets your needs including internet and shall i book you or provide you more info
899,107296,can i have their phone number please,can i have their phone number please,can i have their phone number please
900,107298,no that is all i need thank you,no that is so all i need thank himself you,no that is all i need thank you
901,107299,thank you for using our services have we met all of your needs today,thank you for using our have we met all of your needs today,thank you for using our services have we met all of your needs today
902,107300,yes thanks that will be all,yes thanks that will be all,yes thanks that will be all
903,107301,it was a pleasure to help today have a good afternoon bye,it was a pleasure to help today have a good disharoon bye,it was a pleasure to help today have a good disharoon bye
904,107302,hi there can you help me find a restaurant in the centre of town someplace with british food,hi there can you help me find a restaurant in the centre of town someplace with british food,hi there can you help me find a restaurant in the centre of town someplace with british food
